term,estimate,std.error,statistic,p.value
(Intercept),145.86943973055727,6.735256466522231,21.657592469656525,1.9393726148418092e-53
tratamientoB,10.413354943185507,1.1878140277603222,8.766822667366847,9.751209097432686e-16
edad,0.46983549158580024,0.06115975328121662,7.682102467376959,7.814284487053144e-13
sexoMasculino,0.8201497085044087,1.177562942763889,0.696480569080591,0.48697023930093186
imc,0.7773800044765027,0.15355504193525082,5.06254952412633,9.656832629789596e-7
colesterol,0.004315996839673293,0.016506322389751697,0.26147537517823904,0.7940062125857229
fumadorSi,-1.5799955970235104,1.1826886921993107,-1.3359353204649091,0.18315172336370705
diabetesSi,0.9181928861401063,1.200099210819202,0.7650974834933331,0.44515290698366183
